unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M47738,4.4140024934816555,4.383672449979395,0.03033004350226065,short,Other
M47739,5.966475314426448,5.20428228762545,0.7621930268009987,short,Other
M47741,2.8892733485034547,2.4587162040016097,0.430557144501845,short,Other
M47745,0.8498658913209828,0.7355257789440063,0.1143401123769765,medium,Other
M47750,1.6717389290359617,1.6826320270016377,-0.010893097965676057,medium,Other
M47754,0.41628587507936904,0.5595072548328179,-0.1432213797534489,short,Other
M47761,2.0499713519230833,1.588595553137542,0.46137579878554136,medium,Other
M47763,0.5582784403174865,0.5522784622766664,0.0059999780408200865,medium,Other
M47764,11.10965070927447,10.06153894709007,1.0481117621844014,short,Other
M47775,7.3200460327310966,6.651760949458674,0.6682850832724228,medium,Other
M47780,3.284036196529103,2.8712410626293825,0.41279513389972067,short,Other
M47781,11.36382617302134,9.176807549863137,2.1870186231582043,long_history,Other
M47782,11.52920922658965,9.690022608864805,1.8391866177248453,long_history,Other
M47783,1.9423724531714401,1.97874853314541,-0.036376079973969855,long_history,Other
M47786,11.386609227976109,13.276966858323425,-1.8903576303473155,short,Other
M47790,0.7253014082977034,0.7961915321704707,-0.07089012387276727,long_history,Other
M47791,0.6085536305410177,0.6246708888140994,-0.016117258273081636,medium,Other
M47792,3.4908325987351163,3.340394929855999,0.15043766887911714,long_history,Other
